,x1,x2,x3,x4,y
0,1.0,1.4751886,1.0,2.5948758,1.0
1,1.0,-2.9986277,0.0,-0.5051806,0.0
2,0.0,1.0226794,1.0,0.8088422,1.0
3,1.0,-0.906989,0.0,1.1511787,1.0
4,1.0,-0.30508262,1.0,1.8983626,1.0
5,1.0,0.79210716,0.0,2.0675814,1.0
6,0.0,-0.5465237,0.0,-0.94548696,0.0
7,1.0,1.2939559,1.0,5.2515097,1.0
8,0.0,-1.5911529,0.0,-2.5311236,0.0
9,1.0,-0.66554874,1.0,-1.1443088,0.0
10,1.0,1.2188134,1.0,4.133005,1.0
11,1.0,1.318667,1.0,4.089011,1.0
12,1.0,0.6364926,1.0,1.7087784,1.0
13,0.0,-0.5238149,1.0,1.4217398,1.0
14,1.0,0.3643299,1.0,1.8477157,1.0
15,0.0,0.71174055,1.0,0.09619498,1.0
16,0.0,-1.9480022,0.0,-3.2056615,0.0
17,1.0,0.69155985,1.0,2.4507465,1.0
18,1.0,-1.7690432,0.0,-1.3974876,0.0
19,1.0,-0.69067496,0.0,0.44683206,1.0
20,1.0,-1.7176932,1.0,-1.0156463,0.0
21,1.0,-0.4161534,1.0,1.897547,1.0
22,0.0,1.559908,1.0,2.4678178,1.0
23,0.0,-0.8449787,0.0,-0.93431795,0.0
24,1.0,-0.09501995,0.0,0.31831253,1.0
25,1.0,0.0375581,0.0,3.2632957,1.0
26,1.0,0.7620458,1.0,2.8457928,1.0
27,1.0,0.1482617,1.0,1.4462085,1.0
28,1.0,-0.6305378,1.0,1.9650874,1.0
29,1.0,-0.72628725,1.0,1.2862197,1.0
30,1.0,-0.35386616,1.0,0.67145026,0.0
31,1.0,-1.7582988,0.0,-1.1068807,0.0
32,1.0,-1.7942113,0.0,-0.61514306,0.0
33,1.0,-1.3001194,1.0,1.0770392,0.0
34,0.0,0.9930528,1.0,0.6073489,1.0
35,0.0,0.71083206,1.0,2.98527,1.0
36,1.0,-0.94768035,1.0,1.4928125,1.0
37,1.0,0.7102282,1.0,3.3865316,1.0
38,1.0,-0.574987,0.0,0.57602274,0.0
39,1.0,1.5508937,1.0,5.4666147,1.0
40,0.0,-0.52194524,0.0,-0.77804774,0.0
41,1.0,2.1235065,1.0,5.092563,1.0
42,1.0,-0.33924106,1.0,1.3458378,1.0
43,1.0,-0.79259586,0.0,-0.6885075,0.0
44,1.0,0.36075005,1.0,2.9655075,0.0
45,0.0,0.50548446,0.0,1.1768739,0.0
46,1.0,1.9035047,1.0,4.170014,1.0
47,1.0,0.70353377,0.0,0.108734965,1.0
48,0.0,-0.25923124,1.0,-0.29067254,1.0
49,0.0,0.071810976,1.0,3.2592895,1.0
50,0.0,-0.20260505,1.0,-0.119801104,0.0
51,1.0,-1.0621775,0.0,-0.2789042,0.0
52,1.0,-0.14274763,1.0,1.8862567,0.0
53,0.0,-1.4803923,1.0,0.36068994,0.0
54,1.0,1.8528541,1.0,2.2917228,1.0
55,1.0,1.0899754,1.0,4.749484,1.0
56,1.0,0.1471163,1.0,1.5907631,1.0
57,0.0,-0.20124593,0.0,0.59650266,0.0
58,0.0,1.8557026,1.0,3.8472621,1.0
59,1.0,-0.61769474,1.0,1.5092758,1.0
60,1.0,-0.47565332,1.0,1.8558085,0.0
61,1.0,-1.2816963,0.0,-1.0932835,0.0
62,1.0,-0.78547233,0.0,-0.7898014,0.0
