x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,y,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99
0.0,-2.5652862,1.208381,0.0,-5.4363623,3.0144932,-5.032656,-0.41874266,2.699283,5.8219194,-3.3866653,1.0,1.0,-1.0009621,4.7494125,1.0,-3.231026,0.0,1.0,0.14543414,-3.7069128,0.0,1.0,0.24043006,1.0,-2.3325646,0.0,2.834013,-0.94450676,-1.2302707,0.9017113,7.301014,0.0,-1.9414692,6.568096,4.158724,0.0,1.0,3.1189117,-5.435393,0.0,1.0,-7.1097736,0.5604036,1.0,-0.32904434,-0.4515684,0.0,1.0,0.0,1.0,0.79498756,0.0,0.20802164,1.0,-0.11134487,-0.29808944,1.0,0.0,0.597296,0.0,1,4.284875,0.0,-5.8556433,-4.869487,-5.7630067,1.2604748,-8.669874,0.0,3.6310601,-4.032725,0.0,1.0,0.0,-4.5003643,-3.166013,0.0,2.3040566,14.277098,1.0,3.3191192,1.351061,1.9228091,-2.908521,-2.3692503,0.0,0.33558017,1.0,1.0,8.109947,-4.0398493,0.0,0.13481703,1.7130455,0.0,1.0,-1.3238688,0.0
0.0,-0.33084834,-3.6913466,0.0,-0.96012384,3.2976203,-5.375539,0.9968467,3.3941326,5.8124843,-9.078673,1.0,0.0,-0.9526016,5.4053874,0.0,-3.6350136,0.0,1.0,4.1799517,-4.4126444,1.0,0.0,0.8216226,0.0,-1.0257403,1.0,2.8208423,-1.075547,0.8707715,1.9531487,7.6244264,0.0,-2.3940077,5.8491173,4.4391546,0.0,1.0,0.1283282,-5.330824,0.0,0.0,-1.8853307,0.52520114,1.0,-0.3349508,-0.1612454,0.0,1.0,0.0,1.0,1.6266612,1.0,2.463521,1.0,-0.68477285,-0.28147912,1.0,0.0,-0.411053,0.0,0,3.8298316,0.0,-8.372037,-1.9532492,-0.18616009,1.2249082,-0.9521067,1.0,-1.4314792,-2.1684964,1.0,1.0,0.0,-3.9874578,-3.3998282,0.0,4.5863667,3.3585634,0.0,2.7383134,1.3284101,2.6583354,-2.4377756,-2.7822242,1.0,-0.42563897,0.0,0.0,0.4566822,-4.013043,1.0,-0.5512241,2.787816,1.0,0.0,-4.7615,0.0
1.0,-5.7491503,1.9163251,0.0,-7.247681,4.0896115,-4.6631794,0.587058,0.7431543,7.2274685,-5.8787184,0.0,0.0,-1.4281151,6.572134,1.0,-3.8155763,0.0,1.0,1.7386233,-0.18920624,0.0,1.0,0.12664151,1.0,-0.41000965,0.0,3.4303048,0.44523478,0.54349625,0.8957775,3.256528,0.0,-2.7530005,6.4628634,3.9237723,0.0,1.0,-0.43937397,-3.9960985,1.0,0.0,-8.002135,0.5272549,0.0,-0.5687802,0.14957602,1.0,1.0,0.0,1.0,-1.1859238,0.0,-0.8394464,0.0,-0.35825625,0.28740436,1.0,1.0,1.1395178,1.0,1,0.6446842,0.0,-6.1964636,-2.9289258,5.000675,1.611382,-4.0974236,1.0,2.7595668,-2.355929,0.0,1.0,0.0,-4.899532,-3.053911,0.0,6.613042,1.3551755,1.0,4.5500965,4.9353657,0.79919505,-4.371475,-1.7982389,1.0,-2.1443615,1.0,1.0,6.286914,-4.200685,1.0,1.6175573,2.441997,0.0,0.0,-3.4791932,0.0
1.0,-1.7653482,-0.40703976,0.0,6.7617593,3.8113039,-7.9235187,-0.20887262,8.386106,5.866322,-7.10055,0.0,1.0,-1.802666,5.9411783,0.0,-6.5040913,1.0,1.0,7.3919764,-4.8396235,1.0,0.0,1.4867557,0.0,0.24442261,0.0,4.633766,0.62582326,0.23245147,1.7099994,9.868435,0.0,-2.425388,6.022829,4.2762613,0.0,1.0,4.845065,-1.7602923,0.0,0.0,-6.7410455,0.8629738,0.0,0.92248464,-0.8250705,1.0,1.0,0.0,0.0,1.7409592,0.0,3.9140177,1.0,-0.89856064,1.8104308,0.0,0.0,-0.34174728,1.0,1,9.087053,0.0,-8.511996,-2.7157087,2.5827425,1.721106,-3.4931746,0.0,0.470356,-4.2932625,0.0,1.0,0.0,-4.2490916,-3.5583436,1.0,-0.36262274,14.99692,1.0,2.1434927,0.86796117,2.9815874,1.6288044,-2.9098523,0.0,0.5178596,1.0,1.0,4.0155005,-3.5725389,0.0,0.67754966,2.6638412,0.0,1.0,-6.239772,0.0
0.0,-1.0319043,2.560899,0.0,3.5963643,3.5368462,-5.637226,0.13686472,0.96140385,4.7613006,-2.050891,0.0,1.0,-3.674915,4.548666,0.0,-2.5541801,1.0,1.0,6.647516,-2.9234757,0.0,0.0,1.1174796,1.0,-0.6332397,0.0,3.982191,1.4485383,-2.649518,1.9316881,1.239893,0.0,-1.6758645,6.2043686,4.758771,1.0,1.0,-0.0056729317,-6.5821266,0.0,1.0,-7.2052007,1.1972792,1.0,0.17023617,-1.3376801,0.0,1.0,0.0,1.0,1.6011679,1.0,-0.27137768,0.0,0.5656291,1.4775281,0.0,0.0,0.6756594,0.0,1,2.4676375,0.0,-5.6636596,-2.68426,2.575282,1.237543,-3.7051508,0.0,0.5155449,-3.8895502,1.0,1.0,0.0,-3.374142,-3.6550572,0.0,2.1517549,12.526607,1.0,3.0522485,0.57332665,0.46057034,2.5225575,-2.3168,0.0,-1.3356231,1.0,1.0,4.076267,-4.0490675,1.0,1.5228251,3.444863,0.0,1.0,-1.5032363,0.0
1.0,-1.3386385,-0.05164826,0.0,-5.656177,3.9730806,-2.7467325,2.2432053,9.736362,5.704142,-7.347012,0.0,1.0,-2.788793,5.965567,1.0,-3.9017863,1.0,1.0,1.7014246,-5.5743012,0.0,0.0,1.4441077,0.0,0.032855704,1.0,3.8615487,-1.6592697,-1.3334864,-0.98819894,7.532291,0.0,-2.4677422,6.403552,3.7565427,1.0,1.0,-1.0151792,-3.461779,0.0,1.0,-11.694677,0.42123017,1.0,0.13439722,0.054400504,0.0,1.0,1.0,1.0,3.5418482,0.0,-3.4073765,1.0,-0.81840545,-0.23063076,1.0,0.0,0.5846394,0.0,1,4.3455877,1.0,-3.6783216,0.33083844,0.78568864,-0.17937618,-1.7449911,1.0,1.6736476,-2.400621,1.0,1.0,1.0,-4.6647077,-2.8417845,0.0,5.0367985,3.7579336,1.0,1.1265174,0.052961588,1.985325,-2.4344096,-2.8508573,1.0,1.1816719,0.0,0.0,5.411668,-3.5423229,0.0,0.23284394,1.5015348,0.0,0.0,-4.1534133,0.0
0.0,-1.3345138,-0.4730394,0.0,-1.3820739,3.0122957,-0.13400173,3.1870508,4.518314,5.8538175,-0.3499999,1.0,1.0,-3.0452747,4.556147,1.0,-6.003235,0.0,0.0,3.643994,-7.597843,1.0,0.0,1.6926525,1.0,-0.28865653,0.0,3.9615188,1.4045665,0.92231375,2.1359916,7.2752037,1.0,-2.1063876,6.980974,4.012439,0.0,1.0,0.46523762,-3.2344358,1.0,1.0,-8.312475,0.36132702,0.0,0.67710114,-0.56900406,0.0,1.0,0.0,1.0,1.1150702,1.0,2.5749464,0.0,0.45016623,0.46654472,0.0,1.0,-0.16054955,1.0,0,-0.819041,1.0,7.376342,-3.1122966,-4.885553,0.05680895,-5.2003064,0.0,0.32740265,-3.861773,1.0,1.0,1.0,-3.6388447,-3.1822026,0.0,4.401672,5.2765865,1.0,0.9698577,1.3037156,0.7016969,1.4526663,-2.2018862,1.0,-0.7778971,0.0,1.0,1.2003534,-3.6458075,0.0,1.1681287,3.7177482,1.0,1.0,-2.7070262,0.0
1.0,0.8435192,4.4776425,1.0,0.16191673,4.0370955,3.083045,6.8358574,10.919334,5.8845963,-7.060035,0.0,1.0,-4.139803,5.446795,1.0,-6.741448,0.0,1.0,4.850266,-3.7584932,0.0,1.0,0.3069328,1.0,-0.44411224,0.0,3.6856217,-0.87869465,-3.5577614,-0.37179232,9.576625,1.0,-4.4339232,5.6502304,4.130946,0.0,1.0,-1.4674451,-4.310609,0.0,1.0,-5.818667,0.79174536,0.0,1.5483711,-0.13382527,0.0,1.0,0.0,0.0,1.316699,0.0,-0.24456944,1.0,-1.065939,0.08964172,1.0,1.0,0.9630531,0.0,1,4.752659,1.0,1.3728576,-3.3302507,0.9871329,0.90406585,-1.9098158,1.0,7.4407945,-2.434191,1.0,1.0,0.0,-5.1255417,-3.3096151,0.0,0.9142773,1.4744005,0.0,2.4602387,1.7481003,0.6397275,0.23279557,-2.1803522,1.0,-2.0866907,1.0,1.0,3.9651031,-4.1537886,1.0,0.5469614,2.5820048,0.0,0.0,-1.5169232,0.0
0.0,-1.9229105,-0.41204238,0.0,-6.9654856,3.0621011,-2.6634426,1.4714875,1.9187205,6.0102177,-5.221005,0.0,1.0,-2.474013,4.8597155,0.0,-3.5004077,1.0,1.0,1.7861321,-3.3498893,0.0,0.0,0.49919105,0.0,1.3813722,0.0,1.3463228,1.0435252,-0.5999577,2.1779206,10.459008,1.0,-3.5552812,6.137281,3.8135927,0.0,0.0,4.509941,-2.9063334,0.0,1.0,2.3642974,0.38226664,1.0,-0.4837107,0.31218314,0.0,1.0,0.0,1.0,-2.752339,1.0,0.4435128,0.0,-0.36987275,0.47616482,0.0,1.0,-0.21619311,0.0,1,-1.1347437,1.0,-7.8984165,-3.451394,-0.61867714,1.6338484,-5.4852104,1.0,-0.16685413,-2.506087,0.0,1.0,0.0,-6.0973654,-3.3544316,0.0,2.5636392,1.3632317,0.0,3.0898163,-0.750964,2.6422844,1.4249804,-3.2379856,0.0,-1.2017329,1.0,1.0,7.1241035,-4.2113214,0.0,3.002028,0.43041396,1.0,1.0,-0.9986812,0.0
1.0,-0.2678156,-2.576796,0.0,3.3876815,4.2510915,-1.0075184,2.7607157,-0.11574578,5.387042,-3.2522314,0.0,1.0,-0.9533905,4.5020313,1.0,-2.9871714,1.0,1.0,6.1689167,-1.9688212,0.0,0.0,-0.24696088,1.0,-0.6880498,0.0,2.3998048,1.490304,-1.2757988,1.8041393,7.623045,0.0,-2.2981572,6.266065,3.8890402,0.0,1.0,-0.050008416,-4.410367,1.0,0.0,-4.07028,1.02374,1.0,0.49825808,-1.1605871,0.0,1.0,0.0,1.0,0.47828397,1.0,0.8713688,0.0,0.15692015,1.0349569,0.0,1.0,0.29861653,0.0,1,-0.44274306,1.0,-9.880426,-3.1164637,2.6535249,1.1944482,-0.76143813,0.0,-5.6339445,-2.4413726,1.0,1.0,0.0,-4.7573833,-3.340789,0.0,-3.4723706,11.799123,0.0,4.574476,-0.06701821,0.5021293,-5.3033457,-3.3783185,1.0,-1.0080409,1.0,1.0,0.64246655,-3.5988064,0.0,-0.19534129,2.754615,0.0,1.0,-4.2893696,0.0
