x1,x2,x3,x4,y
0.0,-0.324661,0.0,-1.4596457,1.0
0.0,-0.7107158,1.0,1.5794686,1.0
1.0,0.52916855,1.0,2.9277375,1.0
1.0,0.7403111,1.0,3.5782104,1.0
1.0,1.2500657,1.0,2.0422986,1.0
0.0,0.44300383,0.0,1.5750697,1.0
1.0,-0.09860216,1.0,0.83192086,1.0
1.0,0.16674115,0.0,0.83797324,1.0
1.0,0.46515575,1.0,2.2798371,1.0
1.0,-0.027634155,1.0,0.6741488,1.0
0.0,0.030835155,1.0,1.1981138,1.0
0.0,-1.785261,0.0,-1.5610394,0.0
1.0,-0.17811418,1.0,0.64847064,1.0
0.0,0.4044081,1.0,0.8008991,1.0
1.0,2.08562,1.0,3.2643487,1.0
1.0,0.9935543,1.0,2.1014674,1.0
1.0,0.5063045,1.0,0.85126424,1.0
0.0,-1.1976907,0.0,-2.4322805,0.0
1.0,0.17801805,0.0,0.55383295,1.0
1.0,-1.877116,1.0,-0.09563029,0.0
1.0,0.26146427,1.0,1.7751318,1.0
0.0,-0.35411406,1.0,0.6871006,1.0
1.0,-0.49666747,1.0,0.8370002,1.0
0.0,0.039417226,0.0,-1.2365288,0.0
0.0,-1.7170587,0.0,-1.1988215,0.0
0.0,1.1679541,1.0,2.302614,1.0
1.0,-2.1756518,0.0,-2.4518733,0.0
1.0,-0.11918538,1.0,1.0535467,1.0
0.0,1.1453438,1.0,2.5422559,1.0
1.0,0.8053492,1.0,3.256256,1.0
1.0,-1.2856426,1.0,-1.1976686,1.0
1.0,-0.9552457,0.0,0.46977046,0.0
1.0,-0.2101588,1.0,2.019327,1.0
1.0,0.4761927,1.0,3.3054237,1.0
1.0,-0.97644556,0.0,-0.3877504,0.0
0.0,-0.20168985,1.0,1.5163912,1.0
1.0,0.7074397,1.0,2.3422678,1.0
0.0,-0.57882845,1.0,0.86030495,1.0
1.0,-0.47527257,0.0,0.66855955,1.0
0.0,1.368052,0.0,2.072649,1.0
0.0,0.63203245,0.0,-0.45529002,1.0
1.0,0.19670333,0.0,2.348909,1.0
1.0,-0.939971,0.0,-1.8888314,0.0
1.0,-0.09379364,1.0,0.9609109,0.0
1.0,-0.06676206,0.0,-0.040426075,1.0
0.0,2.0435958,1.0,2.9890938,1.0
1.0,0.46453372,0.0,1.3814249,1.0
1.0,0.3070673,1.0,3.1125474,1.0
1.0,-0.65628964,1.0,0.2395345,0.0
1.0,1.308922,1.0,3.226397,1.0
