x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,y,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99
1.0,-5.383253,-2.4195638,0.0,-1.4955144,3.9290855,-7.7233768,1.3605698,-2.8735614,7.081684,-6.0217338,1.0,1.0,-0.48874244,7.039132,1.0,-3.5750754,1.0,0.0,1.1854043,1.1955159,0.0,0.0,0.94330513,0.0,1.196461,0.0,2.573727,0.6045949,0.9238432,2.2956662,5.6767287,0.0,-2.16091,7.241896,3.9564283,0.0,1.0,3.2859335,-6.663519,1.0,0.0,-6.541751,0.0987934,0.0,-0.6152736,0.0060637705,1.0,1.0,0.0,1.0,1.8583455,1.0,1.1449388,0.0,-0.27375036,0.7993351,0.0,1.0,0.6954843,0.0,0,5.662474,0.0,-1.7047634,-5.7602167,0.3332634,1.5908445,-1.833787,1.0,-1.009973,-2.4425974,1.0,1.0,0.0,-2.158788,-3.3976722,0.0,1.4438549,9.763648,0.0,0.2712834,-0.94490504,-1.0740619,-1.5343858,-2.5570135,0.0,0.78140074,0.0,1.0,4.794387,-4.041303,1.0,2.0306997,3.97792,0.0,0.0,-1.9799787,0.0
0.0,0.073829055,7.191758,0.0,-0.9988202,3.3090944,-3.2514565,2.0871878,3.8808796,4.645632,-8.000935,0.0,0.0,-3.69865,5.5063396,1.0,-6.0265713,1.0,1.0,4.6604357,-1.3371989,1.0,0.0,0.89827836,0.0,-0.69402754,0.0,2.0848413,1.2469704,3.9064577,1.4838897,5.4809465,0.0,-1.4412153,6.3180757,4.683313,0.0,1.0,-0.7894527,-3.7604036,0.0,1.0,-0.5410018,1.2125028,1.0,-0.26527154,-0.44995913,1.0,0.0,0.0,1.0,0.017679632,0.0,1.5991259,1.0,-0.252455,1.2337042,0.0,1.0,0.87573946,1.0,0,4.62756,1.0,-2.4997783,-3.6750405,0.10460353,1.0382394,-4.004557,1.0,-2.3928955,-3.1961486,1.0,0.0,0.0,-4.2627077,-3.930077,1.0,7.3590994,8.392093,0.0,1.5668777,2.4666567,2.799355,0.6979282,-3.4080024,1.0,-1.0722603,1.0,1.0,4.809024,-3.553426,1.0,0.9476761,0.72523093,1.0,0.0,-2.4407282,0.0
1.0,0.74298155,5.400162,0.0,0.3303007,3.9899,1.8540971,5.1428447,-3.444376,4.892258,2.4456048,0.0,1.0,-6.970518,4.301626,1.0,-3.9031432,0.0,1.0,0.7719507,2.4335642,1.0,0.0,0.6579633,0.0,-1.3297899,0.0,4.1268654,0.9195324,4.3009796,1.7855129,6.620004,0.0,-2.5511289,5.924055,4.254282,1.0,1.0,0.19829641,-1.461621,1.0,0.0,-8.1130495,0.33370307,1.0,0.45240667,-1.6272247,0.0,1.0,0.0,1.0,1.1949141,1.0,2.1420374,1.0,0.765297,-0.478668,1.0,1.0,1.5331771,0.0,0,4.277282,0.0,-3.120456,-2.7052987,-0.53574157,0.5627758,-1.617916,0.0,-4.1051173,-1.7887535,1.0,0.0,0.0,-3.9203756,-3.422023,0.0,2.671741,8.075094,0.0,4.0372267,-0.10612741,1.5579678,-1.4850345,-2.3615735,0.0,-1.7632,1.0,0.0,4.381819,-3.5055726,0.0,0.43758172,2.9932384,0.0,0.0,-1.6798388,0.0
1.0,-1.3349116,-1.6760483,0.0,-1.9010234,3.8082933,-4.898475,1.2797787,1.1401343,5.366731,-0.22312021,1.0,1.0,-3.343552,5.32111,1.0,-1.9316729,1.0,1.0,4.323739,-1.1964641,0.0,0.0,0.7851024,1.0,0.7322961,0.0,3.5698135,-0.34236026,2.895131,2.6924593,7.508045,0.0,-1.5683688,5.7408137,3.8258374,1.0,1.0,-0.89045227,-2.6472516,0.0,1.0,-8.246085,0.51008475,1.0,0.3062217,-0.77436334,0.0,0.0,1.0,1.0,-0.5824058,1.0,-0.6862714,1.0,0.011463158,0.4846477,1.0,1.0,0.29767358,0.0,0,-0.50593305,0.0,-12.760881,-3.0530148,0.15197301,1.0894943,-2.0213785,0.0,0.65491575,-3.4742517,1.0,0.0,0.0,-4.652845,-3.2191503,0.0,4.6054006,14.034778,0.0,3.4206622,2.523788,0.4485656,-0.647582,-2.2959843,1.0,-0.7218369,0.0,1.0,5.8349233,-3.4993072,1.0,1.3796115,1.6988988,0.0,0.0,-1.5336744,0.0
0.0,-0.7517971,2.8126688,0.0,1.7137518,3.1010785,-9.286384,-0.37751782,0.20181942,5.392876,-5.1439185,0.0,1.0,-2.776999,4.954588,1.0,-6.344975,1.0,0.0,4.9522204,0.10361731,1.0,1.0,-0.011256337,0.0,-1.2250727,0.0,3.3293176,1.1951979,0.35523778,-0.5452057,6.867035,1.0,-1.2960124,8.323866,5.580212,1.0,1.0,4.7345057,-5.9982386,0.0,0.0,-1.2906723,1.2213562,0.0,-0.87703824,-1.3266633,1.0,1.0,0.0,1.0,-2.5046089,0.0,1.0704393,0.0,0.017027583,0.76120627,1.0,0.0,0.29540208,0.0,0,-2.9876637,0.0,-11.339106,-2.32632,3.7053533,0.83775926,-0.91918945,0.0,-3.5568237,-2.8362694,1.0,1.0,0.0,-4.750165,-3.7839408,1.0,-0.30086946,15.259687,0.0,3.590302,-0.5200199,2.315272,-0.15902811,-2.7958708,0.0,-2.3890228,1.0,1.0,1.9314404,-4.1482425,1.0,-0.50286627,3.116297,1.0,0.0,-2.525,0.0
0.0,-2.1114397,0.041149855,1.0,-1.9654816,3.166597,-2.894732,0.5542054,0.538229,6.3943806,-8.689861,1.0,0.0,-1.9374309,6.0085807,1.0,-1.4264863,0.0,0.0,2.8453307,-3.7367575,0.0,0.0,0.24988681,1.0,-1.8413888,0.0,-0.0042909384,1.0896491,1.1641597,0.7978673,4.723634,0.0,-3.0899634,5.805784,4.248267,0.0,1.0,1.7190611,-5.144767,0.0,1.0,-3.1133971,0.5951594,1.0,0.23252636,-0.4614261,1.0,0.0,0.0,1.0,2.280323,0.0,1.1025453,1.0,-0.409955,0.8387597,1.0,0.0,-0.098073214,0.0,0,-1.1558859,0.0,1.9639704,-2.6065755,3.8318021,0.8110729,-3.991068,1.0,-2.8680458,-1.5547411,1.0,1.0,1.0,-5.5955706,-3.2061965,1.0,-0.20661044,4.3627353,1.0,3.7371948,-0.5285189,2.5679502,-2.4090762,-2.9379878,0.0,-0.13218075,0.0,0.0,6.671231,-4.038461,0.0,0.23462257,0.27958834,1.0,0.0,-2.0051599,1.0
1.0,-1.2330632,2.472498,0.0,3.34784,4.1946073,0.4759922,5.526866,-3.0438206,6.0866127,-0.85335636,0.0,0.0,-4.984053,5.7020035,0.0,-6.103881,0.0,1.0,4.9574566,-0.5477337,0.0,0.0,0.9977385,1.0,-1.1931663,0.0,3.478701,0.8933317,-1.4121758,1.2350664,5.6444893,0.0,-0.7198713,6.3498526,3.58884,1.0,1.0,2.7104647,-3.416931,0.0,0.0,-2.1867473,0.75393397,1.0,0.69790304,-1.2819145,0.0,1.0,0.0,1.0,-1.4705768,0.0,1.2072544,1.0,0.72094595,0.7763378,0.0,0.0,0.964874,1.0,0,-5.920472,1.0,-5.0325465,-1.9676996,0.31258428,0.5100133,-6.768014,1.0,3.219471,-3.3904643,1.0,1.0,0.0,-3.935175,-3.837557,0.0,2.5453825,2.625052,0.0,4.3188276,-0.20682979,0.974884,5.0584736,-1.8740461,0.0,-0.709201,1.0,1.0,3.3435264,-3.9804587,1.0,1.1464486,3.1012938,0.0,0.0,-1.8205951,0.0
1.0,1.0986952,-0.85811543,0.0,6.3446283,4.323228,-2.7282305,2.9468334,2.7826445,4.954252,-6.183452,0.0,1.0,-3.2051435,4.4224043,1.0,-4.5305367,1.0,1.0,4.990793,-2.506842,1.0,0.0,0.66778123,1.0,-0.7290194,0.0,1.527281,0.41454065,-1.1192614,3.6037374,7.619961,0.0,-2.800569,6.7757025,4.325031,1.0,1.0,1.868181,-5.6455617,0.0,0.0,-5.2782054,0.7384529,0.0,0.80917263,-1.1324085,1.0,0.0,1.0,1.0,-0.20655465,1.0,1.2548531,1.0,-0.4300409,1.7647821,1.0,0.0,0.30418795,0.0,0,-11.655701,0.0,-5.2683,-1.7374114,0.93483114,0.19241709,-3.7751856,1.0,-0.8153456,-2.0331938,0.0,1.0,0.0,-3.3174236,-3.581793,1.0,3.093184,8.227768,1.0,1.7139616,2.5142896,2.7655442,3.986359,-1.7483861,1.0,-0.9482883,0.0,0.0,7.628195,-3.661528,1.0,-0.3645149,2.1014812,1.0,1.0,-4.3271503,0.0
1.0,0.94377995,2.689557,1.0,-6.0564528,4.096202,-3.8081002,1.7116708,5.577453,5.17235,-6.278964,0.0,1.0,-4.4049044,4.6396766,1.0,-5.697195,0.0,0.0,4.227159,-4.038382,0.0,0.0,0.13366947,0.0,-1.7847018,0.0,4.132143,1.0121254,0.9495841,1.8088557,7.3837223,0.0,-1.7073216,5.292965,4.4412284,0.0,0.0,2.3486986,-2.861587,0.0,0.0,-6.4293356,0.62096435,1.0,-1.2426715,-0.25012162,0.0,0.0,0.0,1.0,1.4068832,0.0,1.8763709,0.0,-0.42518365,1.2448452,1.0,0.0,0.52859324,1.0,0,12.491581,1.0,1.2278247,-2.1480203,2.5790787,0.6732737,-4.6568203,0.0,0.21989578,-3.6348348,0.0,1.0,0.0,-3.570644,-2.9916306,0.0,7.817777,9.70878,1.0,1.8106172,0.45113173,3.709006,-1.1574655,-2.2164361,0.0,-3.286726,1.0,1.0,6.366466,-4.5457773,1.0,0.92287356,3.4413815,1.0,0.0,-4.9497175,0.0
0.0,-2.7245703,3.7431393,0.0,-5.8748274,2.9869862,-9.213455,-1.9152924,4.8361645,5.27212,-13.190197,1.0,1.0,-1.0661955,7.2024193,1.0,-4.8894663,1.0,1.0,3.2688527,-7.9838133,1.0,0.0,2.2493422,1.0,0.7441126,0.0,4.673574,-1.05514,0.64308244,1.4441482,9.603217,0.0,-4.1499763,7.068235,5.1340375,0.0,0.0,1.6021934,-7.2066727,0.0,1.0,-5.459917,1.0094575,0.0,-0.35882568,0.51093537,1.0,1.0,0.0,1.0,1.3835466,1.0,0.47208118,0.0,-0.96948355,1.3386668,1.0,0.0,0.010471433,0.0,0,-2.1964235,1.0,-8.505879,-3.259646,0.51652277,1.8863603,-4.6378336,1.0,3.4652872,-2.9322524,0.0,1.0,0.0,-3.9726312,-3.3762827,1.0,2.5216284,4.02762,0.0,2.5145037,2.3216145,0.6970615,-2.333043,-1.4247113,1.0,-2.706587,1.0,1.0,2.647043,-4.0284977,1.0,-1.9906943,1.055772,0.0,1.0,-3.2981448,0.0
