y,x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,0.020009197,-2.0100665,0.0,1.9754746,0.0,0.094828546,0.46367827,6.5371313,-0.5404738
0.0,-2.3115947,2.2801964,1.0,0.8552468,1.0,-2.5196867,2.2136803,3.6889133,0.44620246
0.0,-1.8373424,1.5064783,1.0,-0.93153745,1.0,-1.6469742,3.788585,4.964514,1.039695
1.0,0.62679005,-2.3806784,1.0,0.9735771,0.0,-2.3592577,0.7084334,8.131226,-1.2353752
0.0,-3.151403,0.98218346,1.0,1.0663226,1.0,-3.4861436,-1.1596966,8.768707,-0.21093838
0.0,-0.94181347,1.2271957,0.0,1.7179375,0.0,-0.29381603,2.7913518,8.363846,-1.3420231
1.0,0.012673728,-1.1176364,0.0,1.8339956,1.0,-0.8259078,-0.02842778,4.5966673,0.90282667
0.0,-2.9453678,-0.15662104,1.0,-0.80925447,0.0,0.34009016,1.4986241,5.811711,-0.09872918
0.0,-2.1108484,1.7474916,1.0,1.0294571,1.0,-1.4337157,-0.13355494,9.359486,-1.0634872
0.0,-1.546777,-0.9356418,0.0,1.1334591,0.0,1.8814172,1.8101373,7.547517,-1.4987981
0.0,-1.5957229,0.45545688,0.0,1.53139,0.0,0.009862646,-0.17909974,10.88035,-3.586687
0.0,-1.0422767,-0.6291502,0.0,-1.1080751,1.0,1.4599833,4.489571,3.8910415,0.34039873
1.0,-0.42629808,-0.5883486,1.0,-0.48946947,0.0,-1.5984569,3.3347702,4.0088773,0.35821068
0.0,-1.3594073,0.40366182,0.0,3.0204706,0.0,0.74246997,3.0423808,5.1918797,0.5901992
0.0,-1.5827708,3.450119,1.0,0.9650618,1.0,-2.9673145,0.59910655,6.9506726,-1.3408552
0.0,-1.5377092,0.91942793,0.0,3.3241987,1.0,-0.19945174,1.7934082,3.7395186,0.4803601
1.0,0.36280048,-2.8401067,0.0,-0.24020952,0.0,-1.2408494,3.9314542,5.164748,0.29067796
0.0,-2.92863,0.30207163,0.0,-0.45093352,1.0,0.6104336,-1.3604413,7.5752583,-1.7764716
0.0,-1.4060814,2.864749,1.0,0.42134756,0.0,-1.4655323,0.21150875,6.2009497,-0.49065506
1.0,0.99165595,-1.5170493,0.0,1.0161624,1.0,-0.37044507,0.2873963,2.1170578,0.6431009
0.0,-2.6222813,-2.8318129,1.0,-8.239891,0.0,-2.8856835,10.379824,1.5950606,0.4386496
1.0,0.06870088,1.185574,0.0,-0.3618139,0.0,0.024909623,0.83896816,7.2354097,-1.1871146
1.0,-0.012665302,-2.7643108,0.0,1.2531229,1.0,-0.1432032,1.6655006,8.630452,-1.8237119
1.0,-1.3657334,-1.5768702,1.0,-0.7313708,0.0,-3.6701863,2.2561588,9.333936,-1.5999583
0.0,-1.5713966,-2.9498382,0.0,-2.2163553,1.0,0.6150492,3.8961356,1.9708536,1.1377531
0.0,-2.0469096,-1.0350723,0.0,-0.5129404,0.0,0.4459897,1.9319125,8.571881,-1.2553599
0.0,-2.6046686,0.06186381,1.0,-3.1026394,0.0,-3.262167,0.21616471,3.7987056,0.6770507
0.0,-1.3510873,-0.89692897,0.0,-3.2933187,1.0,0.25605452,1.2670864,6.9650445,-0.31403983
1.0,-0.7001329,-0.040917635,1.0,2.058586,0.0,-1.6492018,1.8219051,3.8608155,0.62973505
0.0,-2.2501724,1.9867308,1.0,-3.6713,0.0,0.23874319,0.96052873,7.1072607,-0.3469521
1.0,-0.15547612,-2.1011798,0.0,2.3228908,1.0,-0.19471183,-1.9513934,6.509868,-0.23612987
1.0,-0.4008957,0.7556164,1.0,0.5387779,0.0,-2.4677742,-0.5834677,6.6274137,-0.26449543
1.0,0.06704718,-4.264398,0.0,0.27242255,0.0,-0.7052727,0.6246189,4.3618755,0.39497176
0.0,-1.9770279,1.1136074,0.0,2.2575366,1.0,0.36896202,2.1700664,9.126643,-2.1940117
1.0,-0.11632032,-1.7557673,0.0,0.6682889,0.0,0.45544222,-0.7329424,8.107594,-2.279882
1.0,-0.008531719,-0.9669163,0.0,0.4240833,0.0,0.18421443,2.5816574,3.9763997,-0.096500635
0.0,-2.541818,1.4061542,1.0,2.9563847,1.0,-2.4660735,0.40214914,4.061242,-0.3317253
1.0,0.3608587,-2.2113776,0.0,0.34305358,1.0,-0.5450706,1.5871639,5.4856877,0.9223074
1.0,0.045440197,-2.4568343,1.0,3.5464015,0.0,-1.0449903,1.4806331,4.900453,-0.1250492
1.0,0.6952998,0.038913727,0.0,3.9167967,0.0,0.49285486,4.3238144,4.964696,0.30850977
0.0,-1.8153068,1.8459952,0.0,0.35511202,1.0,-0.01818645,1.8822782,12.110595,-3.6502614
0.0,-2.4577892,1.0279858,1.0,2.641946,1.0,-1.7997942,0.5110852,8.847128,-1.9576147
0.0,-2.1224117,1.7160335,0.0,-0.008533418,0.0,-0.48745108,3.5007188,8.361256,-0.663879
0.0,-1.7183918,-0.22215915,0.0,1.1495779,1.0,-0.1383884,0.49314165,7.1691723,-0.43958768
0.0,-3.4704533,0.19127868,1.0,-3.9998538,1.0,-1.701477,3.1144295,6.3423705,-0.5663274
1.0,-0.7644028,-2.471003,1.0,1.1225868,0.0,-1.3411422,1.5527322,7.6671066,-0.9184533
1.0,-0.8470545,-3.6187024,0.0,-1.094596,0.0,-0.39054084,2.5707846,7.72794,-1.7107203
1.0,0.01634954,-0.8419201,0.0,0.3331678,0.0,0.8557232,0.43778193,8.018695,-1.417184
