y,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,-2.1561134,-0.3950534,1.0680766,1.0,-0.27452877,-0.7295821,0.017694652,-2.0729764,1.0
0,-1.9024191,-1.0737737,1.2196833,0.0,-0.7228432,0.3546238,1.1866558,-1.4306993,0.0
0,-2.0742774,-2.13259,0.8343628,1.0,0.55819815,-0.066552356,0.34323668,-1.6378579,1.0
0,-2.3205745,0.5533987,0.3484422,1.0,-0.49715927,-0.735036,-0.4665354,-1.1200297,0.0
1,-0.75592655,0.07362318,0.78181976,0.0,0.8075185,-1.5497344,-0.16472912,-1.8119868,0.0
0,-2.549908,-2.0507426,-2.9650962,1.0,-0.31090707,-0.40701842,-2.7166643,-3.3441522,1.0
1,-0.69726014,2.3139293,-2.7581463,0.0,0.4624657,-2.4462166,-3.0699725,-2.5085726,0.0
1,0.049077213,1.384942,-1.003726,0.0,1.2938061,-2.5273185,0.7232293,-0.9848837,0.0
0,-2.6751757,2.102141,1.6209054,1.0,0.49981827,-1.9084753,2.4613504,-0.14525682,0.0
0,-2.41496,-2.7015276,0.91465735,0.0,0.13604163,0.48334807,1.1233158,-2.2750225,0.0
1,-0.33544156,0.95851725,-0.71347606,0.0,0.9077295,-0.97187555,1.406963,-0.44640744,1.0
0,-2.4674778,-0.9266742,0.7908443,1.0,-0.27873555,-0.62999225,1.2737441,-2.828027,0.0
1,-0.9094498,0.97347754,0.46231633,1.0,2.1029227,-2.4540648,2.3910012,-0.35946125,1.0
1,-0.34004274,0.46340942,1.8557193,0.0,1.6032267,-2.102241,1.8985778,-0.158591,1.0
1,-0.7264919,3.2471611,-0.53760684,0.0,0.53523946,-3.742176,1.2782605,-0.2831765,1.0
1,-0.78716886,2.0711148,0.35197878,0.0,0.9218168,-3.460094,1.0071288,0.0089633,0.0
1,-0.34644616,0.9267416,-0.42566115,0.0,1.9117839,-1.9669135,1.703974,0.10129076,0.0
1,-0.23805246,1.9491574,0.7187454,0.0,1.4727529,-2.3023438,1.1477907,-0.35919398,1.0
0,-2.7006617,-1.0207751,1.5614443,1.0,-0.25643158,0.43886018,0.457205,-2.7948189,0.0
0,-2.1216865,-1.7417755,4.158329,0.0,-0.053442568,-0.4302969,2.4879549,0.08468202,1.0
1,-0.8928399,-0.012945294,-4.3977194,0.0,0.90975815,-0.39394122,-3.7547655,-3.136598,0.0
0,-3.319966,0.22564977,0.5309315,1.0,0.0046277754,-0.22517544,0.1925845,-2.1693215,1.0
0,-2.5010939,-1.5363915,1.3607762,1.0,-0.2549311,-0.40752894,1.2324145,-1.7272444,1.0
0,-2.5654094,-1.1430027,4.023716,1.0,-0.38052052,0.033773392,0.5357282,-1.8231404,0.0
1,0.1259292,2.8857908,3.0411696,1.0,3.618306,-3.1143203,2.3443344,-1.0944381,0.0
1,-0.37123248,2.624373,0.20606041,1.0,2.3460543,-3.556773,1.8396134,-0.35017902,1.0
0,-2.158068,-0.09511934,2.9108324,0.0,0.40336242,-0.15257718,2.3930204,0.3249964,1.0
0,-2.8200972,0.023963004,1.5256104,1.0,0.62377024,-0.81286865,1.9306706,-0.8595823,0.0
1,-0.8983416,0.35805714,2.4538615,0.0,0.68109244,-0.7391409,2.334035,-0.45979387,1.0
0,-2.2164078,-1.0550084,-4.2956376,1.0,-0.0391106,0.027007103,-3.2224329,-3.2491384,0.0
1,0.34315616,1.9650656,2.7664113,0.0,2.2344954,-2.837039,0.31425536,0.365669,0.0
1,-0.7704103,1.7068305,-1.7678196,0.0,1.0447265,-2.2676377,-0.8208381,-1.3692958,0.0
0,-1.2445073,-1.2594993,1.8938526,0.0,0.29185897,-0.64608383,0.9407935,-0.17993736,0.0
0,-2.4856083,0.11959654,4.9453526,1.0,-0.8705762,-0.90915823,1.5510557,0.40276003,0.0
0,-2.5453832,0.8005201,0.49836528,1.0,-0.36101568,-1.4798377,0.4893328,-2.3178556,1.0
0,-2.5104752,-1.1925906,2.1656613,1.0,-0.10512602,0.3725443,0.26000178,-2.0400662,0.0
1,-0.34021145,2.1696754,-3.1475155,0.0,0.4974745,-2.5566626,-1.4235781,-1.4381149,1.0
1,-0.044688493,1.4008439,-1.3437194,0.0,2.5113745,-2.5993233,1.0078768,0.08442138,1.0
1,-0.35883707,2.3504379,-3.9274132,0.0,1.3970426,-2.443596,0.158934,-2.0089517,0.0
0,-2.3391922,-0.41913763,5.8222046,1.0,-0.14247552,-0.6049069,3.8399892,-0.3781166,1.0
0,-2.0039759,-0.08158916,0.78478986,1.0,0.18926623,-0.7651383,0.8293153,-1.4350564,1.0
1,-0.56318355,0.4464332,1.1447012,1.0,2.1279325,-2.3129346,2.3619206,0.31821048,1.0
1,-0.52497876,1.9825194,0.038872004,0.0,0.5596811,-1.8504467,0.4784322,-1.0785453,1.0
0,-2.2734807,-0.5741979,-1.0156736,1.0,0.6561851,-0.6236526,1.7910397,-1.3651425,1.0
1,-0.26300475,2.1014352,-2.4926615,0.0,1.6804913,-2.5957634,0.45997524,0.066782534,0.0
0,-2.014836,-1.6577652,0.22803795,1.0,0.1987282,0.3603146,1.2135541,-1.7676263,1.0
1,-1.3045105,3.075749,1.980598,1.0,1.4575926,-2.8206546,2.252701,-0.8515015,0.0
0,-2.2973075,-1.0237522,0.6319836,0.0,-0.052287668,0.13088277,-0.16175233,-2.5544446,1.0
0,-2.2247581,0.3916269,4.0787044,1.0,-0.3112223,-0.42589962,2.1226156,-0.55597365,0.0
