y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0,0.0,1.4775403,-0.21145023,5.287813,-0.18068254,0.0,2.372242,4.8911614,1.0,-2.352725,3.0671403,-0.88558304,-4.0178475,1.0,3.5237172,-0.47702974,-0.6764919,0.0025120825,0.8856249
1,1.0,2.5047178,0.611214,1.1077462,0.12776156,1.0,2.8732767,5.6443377,1.0,-0.3993836,3.7902966,-1.8482827,-3.6138468,1.0,-2.4260821,-0.06373143,-2.3825676,-0.28799656,-3.365247
0,0.0,0.7159457,-0.010986149,3.9417624,-0.82750994,1.0,3.070002,5.2693257,1.0,0.8481549,3.541536,-0.24690002,-3.3042972,0.0,1.599608,-0.18407314,-2.510671,0.17512773,0.3603381
1,1.0,3.485603,-0.20480144,-0.5335218,-1.3104142,1.0,0.558945,4.906888,0.0,0.26820725,-0.35650623,-2.0107367,-3.545425,0.0,-2.357083,0.29908776,-3.5948591,0.14094417,-2.0292087
0,1.0,0.8734107,-1.7133627,2.346241,0.17633879,1.0,1.3251574,7.212357,0.0,0.915166,0.3925935,-2.0308864,-3.3194978,1.0,3.8129272,0.3498481,-1.7350453,-0.17351012,-2.6911812
0,0.0,1.5937507,0.099018425,3.8984056,0.226565,0.0,2.7591066,4.7295756,1.0,-1.1945349,0.57735586,-1.0210922,-3.6578286,0.0,2.6608691,0.020513237,-2.1279712,-0.28291214,-1.5205232
1,0.0,2.7040448,2.6044168,1.1189102,-0.54803246,1.0,2.8618655,3.646587,0.0,0.057272613,5.5389547,-1.2468324,-2.0559535,1.0,-3.919508,-0.11379783,-3.4470406,0.09337316,0.18214673
1,0.0,3.1580236,1.3348137,2.3744874,-2.5693517,1.0,2.1804302,5.2673855,1.0,-0.042363882,2.2399952,-2.762184,-1.5543798,0.0,-0.94570553,-1.9035865,-3.729166,1.5185493,1.4855101
1,1.0,3.546029,0.9736148,2.326303,0.71839494,0.0,3.2050722,6.4720736,0.0,-1.3012872,2.0070443,-3.6752744,-3.6553452,0.0,1.0454934,-1.4361117,-1.9113408,0.67584217,-0.28013682
1,0.0,3.432203,0.99491054,1.0914236,1.8901869,0.0,2.996884,4.3656926,0.0,-1.708126,3.5371654,-1.6369529,-2.7719,1.0,3.0427823,0.8192901,-1.0890744,-0.6280373,0.83140707
1,1.0,3.9278107,0.6799537,2.2477834,-1.6690797,1.0,3.4900813,4.9920416,1.0,0.6522224,2.6566145,-2.637259,-3.9027958,0.0,-1.4766777,-1.4393387,-3.9932067,1.5117165,-1.290617
0,1.0,1.5593,-0.24007338,4.1748204,-2.5525913,0.0,3.254959,6.6307225,1.0,-0.9786888,1.3570206,-1.8825376,-3.1410801,0.0,0.39568263,0.30054343,-2.9044442,0.3099861,-1.5032967
0,0.0,0.95745045,-0.051276967,1.757382,-2.5072393,1.0,2.079056,4.2638516,1.0,0.18876576,2.4939632,0.006249577,-3.6884253,1.0,5.89969,0.36010146,1.3496511,0.2927917,1.089158
1,0.0,2.4484928,1.3216907,3.1948452,-1.6868969,0.0,3.5714695,5.3653803,1.0,-2.5094285,4.260992,-2.0387552,-3.466543,0.0,-1.9375683,-0.47574034,-2.4138043,0.43840337,-0.601088
0,0.0,0.5152865,-1.3398882,3.1765025,-2.2970927,0.0,2.740777,4.571198,0.0,-1.922606,2.7759242,-0.49844903,-3.6512969,1.0,-3.6469567,-0.36632055,-3.4045026,1.2794366,0.21889192
1,1.0,1.6472788,1.816463,-1.6077675,-0.38838607,1.0,1.3812499,5.7901697,1.0,0.76329654,1.186978,-1.3558952,-3.452067,0.0,-0.111561775,-1.4120916,-4.0716233,0.50477684,-2.6247888
0,0.0,0.07410759,-1.108656,4.069399,-2.3127778,0.0,2.051436,5.69921,0.0,-0.81604815,2.3703084,-0.7028222,-3.7170799,0.0,2.580042,0.28428572,-1.5394156,0.76788247,-0.5561448
0,1.0,0.97776884,-1.1850089,1.5526661,-4.4445724,1.0,1.37289,5.7570314,1.0,0.97956073,2.4051697,-1.3271939,-3.1966288,0.0,2.9597995,-1.6736385,-1.724001,2.9396956,-0.72029084
0,0.0,1.6596228,-0.21063651,5.5944757,-1.5171407,0.0,3.6042814,5.7679315,1.0,-2.6088796,2.7191527,-1.6516718,-3.9008648,0.0,-1.9017714,-0.113750935,-3.582829,0.2864479,1.4676862
0,1.0,1.0906311,-1.4981773,3.4910157,-3.2818754,1.0,1.5045872,7.6219664,1.0,0.8221801,1.8886498,-3.1483607,-3.317355,1.0,0.29203665,1.4859408,-3.2104688,-0.07305063,-2.007871
0,0.0,1.0586553,0.07319328,2.9877696,-0.13095379,1.0,3.1479597,2.8344438,1.0,0.698937,2.750827,0.16306537,-3.6583698,0.0,-2.007164,-1.0079387,-3.506958,0.46525332,0.1831387
0,0.0,1.3666811,-0.91235775,1.0740314,-2.9874604,1.0,1.3152874,4.8325996,1.0,1.4218805,2.5728137,-0.5840128,-2.8464727,0.0,0.134475,-1.0293118,-3.3805053,1.4016972,-0.39254934
1,1.0,1.9799769,0.73818886,5.161491,-0.80558366,0.0,4.205709,5.0698996,0.0,0.2059269,1.93611,-1.8307421,-2.5861514,0.0,0.43088615,1.0004023,-3.0944417,0.032748125,-0.18404412
0,0.0,0.21266973,-0.099372454,5.095619,-0.5636829,0.0,3.9129353,5.8467274,1.0,-1.5454417,1.5818913,-0.4419287,-3.6998158,0.0,-0.009374678,-0.6022424,-3.2349615,0.379946,-0.26396018
0,0.0,1.2391281,0.53569776,2.0362122,-2.3563802,0.0,2.2756977,4.680443,0.0,-0.9418663,2.530961,-0.38798863,-3.1977272,1.0,-0.7722191,0.020164728,-3.7659457,0.95302004,-1.0019338
1,0.0,3.2455347,2.7525153,1.4702518,0.0869962,1.0,3.2491324,6.5425177,0.0,0.76614964,2.8496194,-2.8741777,3.116831,0.0,3.9127555,-6.5194454,-1.5279527,4.9476995,-1.1226652
0,1.0,1.3840802,-0.17489403,3.0205812,-2.038148,1.0,1.9316382,7.298566,1.0,0.07709679,1.6838386,-2.2018335,-3.846982,0.0,1.5909523,0.51592386,-2.4897978,0.05035931,-1.7845931
0,0.0,1.1696702,-1.16583,0.86820316,-2.646406,1.0,1.1359689,3.1746635,1.0,1.1336608,1.1968482,-0.25582507,-3.670265,0.0,-1.6489837,-0.11725792,-3.5696456,0.6460045,0.67870075
0,0.0,1.744273,0.33506143,-0.12217903,0.32489562,1.0,2.4727197,3.3922875,1.0,-0.13752437,2.2396586,-0.33569288,-3.2751796,1.0,-3.5062292,1.3060124,-3.0621355,-0.75319916,-0.24777073
0,1.0,1.3342772,-0.76758903,0.9072653,0.4440248,0.0,1.8113836,6.9456425,1.0,-0.3711505,4.003743,-1.9517359,-3.6531982,1.0,7.13899,2.8294878,1.8992329,-0.6164361,-2.661078
1,0.0,3.775619,1.8689072,3.117698,0.99226326,0.0,3.268665,3.7973566,1.0,-2.2330956,1.1659312,-1.4768599,-3.0716074,0.0,2.8740258,1.1988678,-2.7369163,-0.8036045,-0.49422455
1,0.0,2.4635983,2.6533146,3.6119766,1.1563185,0.0,4.5409203,5.0956016,1.0,-2.2481968,5.1523986,-1.5040439,-2.981491,1.0,-3.7021785,0.60395044,-3.3453434,-0.7273562,-0.63280714
0,0.0,0.45366722,-0.2843411,1.1697404,-0.3973838,1.0,1.5177265,3.532816,0.0,0.3317725,1.4185789,0.1913921,-3.7933278,0.0,-4.765129,1.4279084,-2.0707152,-0.47290146,-0.36942297
1,0.0,3.4800072,2.2565784,-2.1052885,1.1977131,1.0,1.2850258,2.3355875,1.0,0.068915665,3.013403,0.11043313,-1.5789818,1.0,1.1872056,-0.23050785,-1.6110427,-0.659458,0.11313409
0,0.0,0.24482614,-0.35567376,2.272303,-2.1123996,0.0,2.7431521,5.4954796,1.0,-1.7985678,-0.62625456,-0.40677416,-3.708482,0.0,0.09909353,0.026654847,-3.3760583,0.3592679,1.2975128
0,0.0,0.9048973,-0.17031477,2.702576,-2.3514316,1.0,2.5964072,4.9015784,1.0,0.2382133,2.1854815,-1.0866059,-3.454103,1.0,0.61526906,-0.3925243,-3.9939263,0.74500483,-0.26459712
0,0.0,1.0693868,-0.53944784,5.353632,-0.7597002,1.0,3.8415935,4.0423794,1.0,0.03486091,3.1389842,0.20218468,-3.756934,1.0,5.0143843,0.15949535,-0.2679093,0.05053181,0.49534357
0,1.0,0.97763896,-0.372078,1.3801337,-1.0734513,1.0,2.441021,7.4535956,0.0,1.2704813,1.794835,-1.5730395,-3.7013385,1.0,2.5621197,-0.7893075,-2.7882304,1.2356322,-1.992677
0,0.0,1.4274056,-0.076791786,2.447885,-0.85069036,1.0,4.23975,4.08493,0.0,0.8581388,4.035,-0.16548556,-3.2724645,1.0,0.1283251,-1.5941725,-2.22196,1.961876,0.067465544
0,1.0,1.5809567,-0.9309668,2.6293023,-1.8631417,0.0,1.5273969,6.794486,0.0,-0.42289782,1.5194132,-2.5889242,-3.049496,1.0,0.3835065,2.164545,-4.3385515,-0.4090607,-1.4085599
0,0.0,1.0895941,-0.26143315,-1.0574024,-1.254073,1.0,-0.20468652,4.1808333,1.0,0.31085545,2.2196882,-0.69543487,-3.123261,0.0,3.0722067,0.6541141,-1.2884616,-0.45052257,-0.04048401
0,0.0,1.4606521,-1.2525145,0.047751904,-1.9481198,1.0,-0.7486908,4.7700233,0.0,1.0885489,-0.101139784,-1.0886441,-2.86449,0.0,1.8006517,0.65227306,-2.501098,-0.09185301,-0.35139745
1,0.0,3.144012,1.2309709,0.4998122,0.8714707,0.0,1.7370348,4.797678,1.0,-2.2603517,2.7003062,-1.6944971,-2.8412507,1.0,1.0028372,0.90941644,-3.1813166,-0.7515536,1.2367835
0,1.0,0.29930687,-0.24503481,1.1819544,-3.8434377,0.0,0.7409916,4.739171,1.0,-1.7134651,1.9152083,-0.554286,-1.2066758,0.0,-2.3397398,1.9852035,-3.1427238,-0.49463445,1.2140887
1,0.0,3.3623781,3.0488088,0.21918583,-0.9786302,0.0,4.513787,5.2588363,0.0,-2.256191,6.777846,-2.1756413,-0.93480396,1.0,-2.8820624,0.052505016,-2.5258298,0.23115033,0.7854166
0,0.0,1.3716364,-0.28259444,-0.4347067,-0.25261772,1.0,1.4209663,4.2709513,1.0,1.0015267,4.195286,-0.314071,-2.8888686,1.0,5.288165,-1.0473075,0.36505806,0.21410471,0.12665254
0,1.0,1.3064756,0.5047592,1.1180176,-1.6012131,1.0,2.2439606,6.3190584,0.0,0.80906475,0.9664613,-1.3536409,-3.7956812,0.0,-1.8083963,0.5849881,-3.2306638,0.3714288,-3.004187
0,0.0,0.18853688,0.41267854,4.149146,-2.405608,1.0,2.2750876,5.238502,0.0,1.2470317,1.5870893,-0.25119448,-3.3902366,0.0,-1.6144574,-0.12814683,-2.5081148,1.22531,-1.3220847
