y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
1,1.0,-0.6740317,0.4734007,2.0095327,2.4495811,-1.8857231,0.6380992,-2.0054471,0.43818963,0.0,-0.62578166,1.8006108,4.1477585,2.881338,1.0,-1.1780214,-0.21574298,1.5405626,-0.025561474,1.0,-7.1609535,5.120701,0.43696532,-2.4235756,0.20868805,-3.586494,-1.3820131,1.0,-1.4581459,-0.772897,-2.3819485,1.0,4.82585,1.0,0.41931584,1.0,1.0,1.0932784,-0.14747906,8.526268,5.497665,-3.258775,0.22447866,-1.62546,0.33030167,1.0,1.3693194,1.346737,-2.492891
0,1.0,1.186446,-0.18581337,-0.17931145,0.76396525,0.5915048,3.4962308,-2.1438498,1.0242121,0.0,4.0200377,-0.40917477,2.5182223,1.457764,1.0,0.2336595,1.2838546,2.0485308,-0.879815,1.0,-4.596949,3.8245711,-1.6515849,-1.1033106,-1.6790806,-2.4210887,-2.1627584,0.0,-1.3757657,2.2606425,-2.3618882,0.0,7.462954,0.0,1.9353391,1.0,0.0,6.3060703,-1.4572568,6.6850157,3.3627477,-1.4198042,-0.93300724,-1.384552,-0.29700467,1.0,0.28337744,0.5871852,-2.2809315
1,1.0,2.9012418,3.626677,0.26203483,1.142614,-1.23143,2.172762,-1.356535,-0.25033522,0.0,-3.9835706,-0.0023313388,-0.1420238,1.7939864,1.0,-0.27063197,0.8864126,1.5425721,0.6202593,0.0,-2.7606478,5.761366,0.34962308,-1.4266847,-1.5625848,-2.505243,-1.7006752,1.0,-0.32721207,1.1371387,-0.39828473,0.0,4.0980687,1.0,1.9954956,0.0,1.0,4.3423963,2.9744158,6.1443367,0.36485815,-1.9085443,-2.7390394,-2.7405195,-0.5230825,1.0,0.48848045,2.4817429,-0.7663717
0,0.0,-0.24119675,1.915184,0.39322102,-0.17162657,0.48477465,2.9942212,-2.9069088,0.7147094,1.0,0.045396507,-0.12010538,3.388042,1.1932085,1.0,-0.4161852,1.3982437,1.5126139,-0.73416203,0.0,-6.1272535,6.6354847,-0.8352613,-3.899025,-1.7793072,-3.007105,-0.46558398,1.0,-1.3772634,1.8810133,-2.122886,0.0,7.2466106,0.0,1.9299594,0.0,0.0,2.2433038,0.8642307,-0.034491777,1.4137485,1.4214483,-0.013117552,-3.1900954,-1.3714542,0.0,1.5058482,3.032058,-0.9741514
0,0.0,-2.606114,2.0236697,2.8394063,-0.058125377,-1.9344965,2.3181782,-2.7240157,1.1088392,0.0,1.9577327,0.9663834,3.336383,1.4912949,0.0,-1.6963472,2.3569112,2.2665315,-0.8285643,1.0,-4.7633915,4.9372535,0.79055804,-2.8236475,0.31452343,-3.2004662,0.15571049,0.0,-1.3695621,-0.63759756,-3.1480784,1.0,5.717967,1.0,-0.07723596,1.0,1.0,6.070307,1.1268611,2.781377,5.1776133,-0.1835325,-1.1638373,-2.13617,-2.6689725,0.0,0.93844146,2.5466843,-2.574658
1,0.0,0.7574604,-0.56717473,0.1201716,1.4363694,-0.12880546,3.0490038,-1.7870617,2.13804,0.0,-0.7101087,0.955709,3.2090106,1.8819822,1.0,0.22586341,0.08198181,2.375679,-0.99047893,0.0,-3.312553,3.7089758,-0.895177,-2.6785846,-1.8273156,-0.9099647,-0.9573016,1.0,-0.33919343,1.9829893,-0.975914,1.0,7.6392403,1.0,2.134693,0.0,0.0,-1.7617507,1.7928387,-0.87564707,6.328476,-0.8928151,-0.8208958,-1.3142692,-1.4075949,0.0,1.2990555,3.789927,-1.6997802
1,0.0,3.2593277,1.2408046,0.045128483,0.39850438,-4.3317676e-05,3.4325323,-2.253377,-0.46618605,0.0,3.4993174,-1.1739125,1.9590061,1.4667403,1.0,0.7508203,-0.028006434,2.981837,-1.178964,0.0,-2.1976793,3.2852643,0.036268577,-3.519061,-1.8631846,0.00083482265,-1.0955968,0.0,1.2095616,1.9176228,0.0046200156,0.0,7.980542,1.0,2.1887121,0.0,1.0,3.1012943,-1.0842108,7.849415,3.964798,0.719141,-2.689659,-2.0254683,-0.8314558,1.0,0.8160849,0.3130195,-1.4222711
1,0.0,1.892869,-0.42722496,0.029421076,0.8187708,-0.13548978,3.9518352,-2.609654,-0.23763502,0.0,2.5349143,-0.14389184,3.738627,2.1361806,0.0,0.48964918,0.4919631,1.0133953,-0.98104227,0.0,-4.053562,3.972635,-1.6066823,-3.4764903,-1.721915,-0.43889543,-1.2458793,0.0,-0.13679577,1.9142389,0.7599411,0.0,7.427817,1.0,1.8686855,0.0,1.0,2.7334685,0.27343643,8.511604,6.946355,-3.5453677,0.6033001,-1.0521138,0.89875966,1.0,0.17859432,1.0333586,-2.6991515
1,1.0,1.0350778,0.78590965,0.050886102,0.13384387,-0.89035475,4.4904313,-2.956216,-0.3954414,1.0,2.140098,-0.6984651,2.4365067,1.6315155,1.0,-0.030440912,1.828037,2.470089,0.8736737,0.0,-3.1001463,4.6624246,0.22513476,-4.9462633,-0.9920012,-2.4115267,-2.064647,0.0,-1.4599458,0.6938155,-0.60635865,1.0,10.977702,1.0,1.4533396,1.0,1.0,3.5399923,-3.0979693,5.0672274,1.7229066,-0.07499814,-0.26158318,-2.0538504,0.4728101,1.0,0.7594552,1.4204812,-1.6943756
1,1.0,0.9232147,-2.4811902,0.0914444,0.8076816,-0.9752692,2.9775696,-2.265859,2.52052,0.0,0.5941317,0.9645117,2.0915813,2.0911105,0.0,1.0648894,-0.5277122,-0.051840544,-0.21513674,0.0,-4.3100705,5.798649,0.6431548,-2.0065289,-0.2653908,-2.4637256,-1.4243463,1.0,-0.7873624,-0.0007264018,-0.6894669,1.0,6.2052007,0.0,1.2183027,0.0,0.0,0.31026912,-0.97782874,9.670738,8.840572,-4.8472133,0.8650831,-2.0443869,-4.028064,1.0,1.075399,1.6126205,-2.8888547
