y,x1,x2,x3,x4
1,-3.4321985,-0.57622355,-1.36888,0.0
1,-2.5519977,-0.7417215,-0.33652973,1.0
0,-5.0752416,1.1703612,-0.7063018,0.0
1,-5.8802633,0.22937238,0.24328214,0.0
1,-3.1243942,-0.6789807,-1.327626,0.0
1,-3.9316096,-0.74318814,0.2037763,1.0
1,-0.97015214,-1.7522546,-0.038063884,1.0
1,-3.8980255,-1.2271783,-1.1982712,1.0
0,-5.438612,1.2571163,-1.8121133,0.0
0,-3.4037457,1.5981776,-2.9886756,0.0
0,-2.787326,1.5233259,-2.3816419,1.0
0,-3.798886,0.3833993,-2.0178382,1.0
1,-1.9423777,-0.6532096,-0.23533814,0.0
1,-1.8315789,-1.4580412,-0.8536768,1.0
0,-1.9784057,1.3877968,-0.07652831,0.0
0,-5.5035686,1.0945328,-1.6746104,1.0
1,-2.6319926,-1.3744099,-1.6232047,1.0
0,-4.6747227,1.194693,-3.8894916,0.0
1,-3.3881307,-0.12643135,-0.16696224,0.0
0,-4.2328057,0.64172316,-1.5844432,0.0
1,-2.2375162,-0.8666773,0.35675585,0.0
1,-4.5250287,-0.6723179,-0.7542665,0.0
1,-5.7341013,-0.5192232,0.82295036,0.0
1,-0.7362993,-0.7051988,-0.15156037,0.0
0,-3.5490582,1.3402096,-3.30952,1.0
0,-6.6902766,1.646693,-2.8844297,0.0
0,-1.6400545,2.187505,-0.08385098,0.0
0,-4.303697,1.2849947,-2.1181228,0.0
1,-0.9927838,-0.40898833,-1.0927086,1.0
1,-5.353368,-0.75443035,-0.4200666,0.0
1,-2.7677197,-0.57160527,-0.24297202,1.0
0,-3.962474,1.5182141,-1.6338472,0.0
1,-2.6565137,-0.8775705,-0.5262148,1.0
1,-0.86439514,-0.08777338,0.61033887,1.0
1,-1.2320685,0.104195535,-0.9785139,0.0
1,-3.7350209,-0.7707616,-0.62899625,0.0
1,-4.301297,-0.4604414,0.32013923,0.0
0,-3.5297005,1.9993448,-0.9839834,0.0
0,-5.137953,1.0003794,-1.639012,1.0
1,-3.563054,-1.1701114,0.16096449,1.0
1,-3.6564848,-0.9491576,0.17819524,0.0
0,-5.3054476,1.6734322,-3.8616931,1.0
1,-2.7677,-1.4926314,1.3451307,0.0
0,-3.8609886,0.55867666,-2.9149876,1.0
1,-2.1964056,-0.14329839,0.7100405,1.0
0,-5.028557,0.9727237,-1.5763308,1.0
1,-2.6987374,-1.3587301,-0.63228667,0.0
0,-3.2551284,1.1665465,-0.2083708,1.0
0,-4.539775,1.7866969,-0.45543838,0.0
1,-6.7895985,-0.58655196,0.24318051,0.0
0,-5.4858675,1.2928764,-3.413389,1.0
0,-5.497532,0.8136215,-2.1072462,0.0
0,-4.405881,0.86086905,-2.0283606,0.0
0,-2.2965646,1.1597204,-1.9378294,1.0
1,-0.44766855,-1.275723,0.22584921,1.0
1,-3.0012298,-0.051592648,-1.2477146,0.0
0,-5.517861,0.98946536,-1.592824,1.0
0,-4.8959947,1.718966,-3.2128074,1.0
0,-5.1217527,1.1523715,-2.3780615,1.0
1,-2.2529626,-1.1361644,-1.4171889,1.0
0,-5.7892227,1.108976,-2.9022331,1.0
0,-3.596866,1.157594,-2.6365862,1.0
0,-6.003333,1.264134,-2.3071065,1.0
0,-3.6486654,0.86689436,-2.3649685,1.0
0,-8.07335,0.9932529,-2.3383734,1.0
1,-3.7137568,-1.0023032,0.08138135,0.0
1,-3.4056103,-1.207074,-1.3340797,1.0
1,-4.541006,-0.030502915,-0.23123372,0.0
1,-3.5640132,-0.61766267,0.1140064,0.0
0,-3.5368905,1.0565732,-1.7396715,1.0
1,-3.3094168,-0.49756837,-0.22287585,0.0
1,-2.12434,-0.26117504,0.0014486313,1.0
0,-4.157416,1.0881671,-2.406633,0.0
1,-2.6702406,0.025445104,-0.37142155,0.0
1,0.56754684,-1.3220055,-0.17089161,0.0
0,-2.0592544,0.87925935,-2.1570923,1.0
1,-2.405927,-1.1406714,-2.5663095,1.0
1,-2.8880694,-0.5686794,-1.9236004,0.0
0,-5.1154475,0.5624241,-3.0008187,1.0
0,-4.332545,1.4919401,-0.65365493,1.0
1,-2.327142,-0.48877102,-2.1325195,1.0
0,-5.7149944,0.62058663,-2.0768278,1.0
1,-1.8806559,-0.74949104,-1.7317531,0.0
0,-5.46865,0.68663985,-3.0011554,0.0
0,-3.9957888,0.3038417,-1.9196625,1.0
0,-5.2848053,0.75805503,-2.82202,1.0
1,-0.23091745,-0.36690697,-0.5213325,0.0
1,-5.06959,-0.88998336,-2.1641316,0.0
0,-3.4478486,1.7508625,-3.9384599,0.0
0,-4.5087533,0.82608163,-3.4251237,1.0
0,-5.072419,1.2590524,-1.8666809,1.0
1,-2.0930216,-1.7835078,1.2922087,0.0
0,-5.0263696,0.8079862,-2.669039,1.0
1,-3.5641901,-0.043908536,-1.2800529,0.0
0,-5.121069,1.2089531,-2.6048133,0.0
1,-3.044066,-1.3099835,1.169661,0.0
0,-6.3043165,1.6800084,-3.1337903,1.0
1,-3.3436508,-0.09619081,0.33436966,0.0
1,-0.45053554,-1.0879432,0.47764868,0.0
0,-4.3040013,1.2034984,-3.8209693,1.0
1,-1.3576394,-0.20549363,-0.81939626,0.0
0,-6.9038544,1.5418239,-2.9070394,1.0
0,-4.430752,1.2767317,-1.0631607,1.0
1,-1.6589737,-1.0166566,0.75423586,0.0
0,-5.710456,1.173337,-2.8528252,1.0
0,-4.3211875,1.2120789,-0.6377251,0.0
1,-1.0067898,-0.6467229,0.17224473,0.0
1,-2.135322,-0.8789968,0.12664717,0.0
1,-3.6041114,-0.67962515,-0.21652448,0.0
1,-5.9157696,-1.0899607,-0.48098928,1.0
0,-5.2735853,1.4958476,-1.4762697,0.0
1,-4.161855,-0.547062,-1.476521,0.0
1,-6.4633036,-0.71656775,-0.7197329,1.0
0,-2.3100817,1.2561357,-2.3609662,0.0
0,-3.7939591,1.5359818,-2.8533716,0.0
0,-5.650543,1.0904634,-0.7483102,1.0
1,-3.5789926,-0.983705,-0.54573894,0.0
1,-2.172821,-0.13441986,-0.67614603,1.0
0,-4.042781,0.6953109,-2.3849669,0.0
1,-4.1117625,-0.48373252,-0.1425789,1.0
0,-0.9048679,1.1210055,-0.7383361,0.0
1,-3.2928169,-0.8326602,0.013222873,0.0
0,-7.135292,1.0281227,-2.940608,1.0
1,-3.7525012,-1.1624908,-1.2712343,1.0
0,-5.811277,1.5909423,-2.9367754,1.0
0,-7.94419,0.38030767,-4.0416574,1.0
1,-1.269826,-1.1496425,-0.07747489,1.0
1,-2.4882731,-0.36320397,0.68943894,0.0
1,-4.455412,-0.85717326,1.2067972,1.0
0,-6.8644834,1.3863647,-2.6162946,1.0
0,-2.9597757,1.4298217,-1.1474507,1.0
0,-5.5401683,1.500845,-1.0896689,0.0
0,-3.5052054,1.2538481,-2.4251015,1.0
0,-3.227066,1.3360187,-0.51988196,0.0
1,-2.5873427,-0.9125944,-0.3862472,0.0
1,-1.2095153,-0.36637387,-1.2086749,1.0
0,-4.327315,1.5871637,-3.4902987,1.0
1,-4.1071587,-1.29917,-1.3005123,1.0
0,-4.3076444,1.2855768,-3.4980474,1.0
0,-6.2568283,0.9388671,-2.9755898,1.0
0,-5.3975534,0.8650266,-2.1466715,1.0
1,-3.6157422,-1.2858475,1.2933041,1.0
0,-4.1422653,1.4620494,-1.586331,1.0
