"country.of.origin","harvest.year","variety","processing.method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean.cup","sweetness","cupper.points","moisture","color","altitude_mean_meters","quality"
"Ethiopia","2014","Other","Washed / Wet",8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,"Green",2075,"good"
"Ethiopia","2014","Other","Washed / Wet",8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,"Green",2075,"good"
"Ethiopia","2014","Other","Natural / Dry",8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,"Green",1822.5,"good"
"China","2015","Other","Washed / Wet",8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,"Green",1450,"good"
"United States","2014","Other","Washed / Wet",8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,"None",2019,"good"
"Costa Rica","2014","Caturra","Washed / Wet",8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,"Green",1300,"good"
"Mexico","2012","Other","Washed / Wet",8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,"Green",1320,"good"
"Brazil","2011","Bourbon","Natural / Dry",8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,"Green",1250,"good"
"Uganda","2013","Other","Washed / Wet",8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,"Green",1950,"good"
"Taiwan","2015","Other","Pulped natural / honey",8,8,8,8.25,8,8.17,10,10,10,8.17,0,"Green",1200,"good"
"Brazil","2011","Bourbon","Natural / Dry",8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,"Green",1300,"good"
"Costa Rica","2016","Caturra","Washed / Wet",8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,"Blue-Green",1300,"good"
"Kenya","2013","Other","Washed / Wet",8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,"Blue-Green",1800,"good"
"Thailand","2012","Caturra","Washed / Wet",7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,"Green",1300,"good"
"Taiwan","2015","Bourbon","Semi-washed / Semi-pulped",8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12,"Green",1000,"good"
